studentid,productid
421,80
86,78
95,25
93,55
803,62
535,34
30,11
536,17
970,62
797,72
77,10
166,34
707,12
910,70
885,69
646,20
637,44
675,7
491,55
862,25
645,61
973,44
346,43
392,21
248,11
852,9
257,73
803,39
105,76
523,2
782,39
782,8
668,49
38,38
616,75
420,68
124,19
737,64
281,37
170,19
70,2
195,70
502,62
956,64
47,32
465,10
27,18
15,33
966,11
309,15
811,67
592,42
631,70
876,51
766,45
679,55
416,66
114,52
761,63
191,53
562,68
306,50
511,73
40,32
64,69
782,33
774,33
43,75
297,58
252,35
609,68
125,41
762,6
249,44
40,24
52,71
227,43
6,11
633,41
801,79
112,12
763,25
298,25
578,61
160,60
269,56
932,24
636,75
671,69
677,10
198,4
854,75
718,1
989,75
11,77
147,38
814,28
604,36
365,75
401,79
256,69
692,24
53,79
2,37
61,67
759,74
910,15
202,3
418,33
570,29
22,30
539,38
577,70
683,24
963,23
479,50
427,8
345,54
902,6
827,42
746,60
165,72
962,59
612,67
598,1
775,78
831,18
515,23
288,38
967,3
666,21
996,23
956,80
470,41
54,14
838,10
285,58
658,76
664,17
886,43
761,59
361,47
469,35
488,80
916,38
527,32
843,3
611,36
512,40
282,27
181,69
848,21
623,1
577,11
545,77
31,37
959,61
395,12
167,54
548,59
781,73
39,52
884,48
350,46
786,63
972,68
961,44
313,17
347,7
12,74
672,63
895,66
628,25
765,60
241,41
618,75
144,67
375,31
951,13
682,39
356,59
217,49
717,39
898,59
543,29
518,23
721,48
196,30
174,52
940,14
501,74
786,68
669,13
511,42
738,18
28,74
195,61
785,36
846,52
670,67
388,57
151,23
478,20
950,46
265,61
999,6
487,72
185,67
841,75
858,31
797,19
415,45
257,25
20,26
513,32
314,7
910,72
127,30
877,37
753,42
318,54
558,11
605,5
978,44
431,20
456,58
178,11
702,73
737,50
392,51
5,14
776,80
160,34
67,67
944,60
670,57
134,75
344,8
217,18
477,22
191,57
559,17
455,22
480,33
321,49
86,41
692,44
967,54
107,22
181,58
572,78
989,63
808,48
213,22
630,64
538,14
146,40
192,38
405,46
753,70
975,45
571,46
417,72
861,46
5,17
534,59
647,23
624,35
41,77
758,8
374,74
336,80
731,3
864,77
774,31
312,30
652,74
697,15
690,5
998,51
164,67
284,55
191,65
414,26
49,52
184,80
954,21
675,80
402,48
273,46
310,55
833,44
532,23
758,45
250,4
447,79
935,80
479,32
281,22
293,43
5,43
70,12
989,49
298,1
21,62
963,79
562,10
552,80
807,23
776,62
148,31
216,4
808,1
182,69
997,59
986,53
230,11
400,15
87,42
198,49
813,60
122,36
124,54
151,45
989,58
114,57
168,33
269,34
776,50
627,14
785,35
88,54
827,22
378,70
408,70
837,47
68,27
436,6
91,38
792,37
352,41
529,27
905,71
459,71
141,9
816,15
680,44
902,50
970,70
455,27
32,44
644,75
309,29
970,71
655,72
86,22
116,75
3,55
817,68
366,70
39,45
810,5
408,47
359,22
477,32
501,33
39,45
898,17
29,70
566,48
212,10
838,12
423,75
383,57
394,44
981,23
148,8
736,20
755,12
859,23
639,30
624,76
510,19
758,5
8,21
991,8
394,51
16,60
384,56
736,13
719,58
31,57
441,43
170,67
267,63
825,18
348,7
975,9
640,17
616,74
777,72
172,49
80,67
869,13
582,41
759,49
182,36
678,70
831,37
319,67
636,20
228,78
384,34
166,34
158,80
269,32
121,40
283,79
176,37
416,66
35,76
183,15
210,68
506,32
217,60
570,72
154,1
478,71
252,6
948,30
189,50
152,70
292,56
412,19
557,29
107,53
770,70
729,2
350,6
567,6
684,80
512,50
254,61
783,69
496,43
826,27
51,25
27,37
190,69
461,46
964,43
191,23
641,52
875,35
213,31
60,69
128,15
260,68
159,26
663,43
112,19
357,23
357,63
582,49
755,66
487,43
79,55
445,9
394,48
844,11
750,73
526,1
754,14
12,18
234,14
419,2
450,12
511,13
457,80
47,26
435,55
322,11
263,51
887,25
942,30
820,4
202,6
812,34
827,55
44,58
122,74
648,26
316,26
150,7
550,16
753,30
938,51
386,50
482,29
513,68
673,73
404,56
702,45
444,79
542,57
669,55
516,20
131,20
101,5
183,57
122,55
50,55
987,64
892,27
719,29
922,3
793,16
456,38
455,17
258,57
849,45
188,47
140,77
384,53
653,1
454,34
514,22
974,80
748,64
257,55
709,55
610,62
191,12
843,70
85,69
77,45
515,54
626,38
148,30
941,63
314,74
615,4
702,11
684,62
324,80
805,25
293,74
39,52
118,74
121,69
400,34
882,58
575,31
10,52
543,72
771,7
356,70
665,21
333,66
863,6
394,60
388,7
735,63
201,6
497,48
356,32
800,18
984,23
413,4
895,1
314,59
578,24
949,32
3,51
823,23
987,39
397,77
23,17
750,43
886,10
634,25
828,27
300,35
745,30
990,62
845,42
33,35
961,37
81,16
474,71
666,61
320,40
219,21
181,1
604,20
852,13
971,27
854,68
204,45
202,30
623,41
88,72
923,9
420,64
471,64
863,14
133,27
602,67
570,69
654,60
271,16
603,9
850,35
171,80
511,15
127,31
700,57
121,47
575,73
472,74
11,53
882,4
944,18
47,36
383,35
352,10
778,59
297,63
280,28
110,15
126,75
289,9
868,78
755,61
214,10
545,31
195,17
4,10
188,65
741,36
834,36
147,19
522,38
623,59
758,59
22,6
679,58
550,69
888,14
81,71
536,25
892,64
447,63
803,64
197,54
118,74
261,23
400,32
986,54
770,2
457,20
549,13
581,12
836,60
10,51
301,73
417,80
480,2
249,28
397,1
732,12
282,73
560,25
907,21
872,49
464,70
486,20
736,45
733,32
961,20
277,78
459,60
445,41
427,12
287,2
743,53
940,25
227,78
211,32
252,15
596,53
635,46
268,17
560,23
195,41
803,11
180,68
453,63
331,29
349,5
96,4
226,40
